roll,pitch,yaw,GyroX,GyroY,GyroZ,x_acc,y_acc,z_acc,latitude,longitude,altitude,north_vel,east_vel,ground_vel,ins_status,modestatus,system_ms
-0.534976,-1.094687,1.261699,-0.091553,-0.238037,-0.109863,7.595739,-4.989744,3.770985,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803665
-0.534976,-1.094687,1.261699,0.073242,0.466919,-0.018311,7.488201,-5.050682,3.907199,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803675
-0.534976,-1.094687,1.261699,0.201416,-0.091553,0.357056,7.491786,-4.946729,3.803246,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803685
-0.534976,-1.094687,1.261699,-0.210571,-0.411987,-0.155640,7.610077,-4.982575,3.753062,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803695
-0.534976,-1.094687,1.261699,0.311279,0.595093,-0.128174,7.488201,-5.068605,3.885692,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803705
-0.534976,-1.094495,1.261699,0.430298,0.210571,0.274658,7.473863,-4.925222,3.796077,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803715
-0.534976,-1.094687,1.261699,-0.192261,-0.292969,-0.091553,7.610077,-4.982575,3.788908,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803725
-0.534976,-1.094687,1.261699,0.082397,0.393677,-0.283813,7.495370,-5.047098,3.917953,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803735
-0.534976,-1.094495,1.261699,0.238037,0.173950,0.430298,7.545554,-4.950314,3.799662,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803745
-0.534976,-1.094687,1.261699,-0.119019,-0.265503,-0.054932,7.592154,-4.989744,3.756647,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803755
-0.534976,-1.094687,1.261699,0.109863,0.421143,-0.155640,7.466693,-5.079359,3.943045,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803765
-0.534976,-1.094495,1.261699,0.366211,0.201416,0.329590,7.509708,-4.935975,3.853430,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803775
-0.534976,-1.094687,1.261699,-0.219727,-0.329590,-0.137329,7.610077,-4.986160,3.774569,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803785
-0.534976,-1.094495,1.261699,0.073242,0.393677,-0.192261,7.463109,-5.065021,3.946630,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803795
-0.534976,-1.094495,1.261699,0.210571,0.018311,0.320435,7.498955,-4.928806,3.835507,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803805
-0.534976,-1.094495,1.261699,-0.155640,-0.192261,-0.164795,7.602908,-4.975406,3.778154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803815
-0.534976,-1.094495,1.261699,0.109863,0.485229,-0.036621,7.448770,-5.050682,3.932291,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803825
-0.534976,-1.094303,1.261891,0.256348,0.228882,0.375366,7.506124,-4.961068,3.853430,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803835
-0.534976,-1.094303,1.261891,-0.119019,-0.311279,-0.091553,7.610077,-4.971821,3.753062,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803845
-0.534976,-1.094303,1.261891,0.009155,0.329590,-0.210571,7.470278,-5.065021,3.921537,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803855
-0.534976,-1.094303,1.261891,0.292969,0.045776,0.247192,7.484616,-4.925222,3.842677,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803865
-0.534976,-1.094303,1.261891,-0.109863,-0.247192,-0.018311,7.617246,-4.975406,3.767400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803875
-0.534976,-1.094303,1.261891,0.238037,0.457764,-0.128174,7.502539,-5.068605,3.907199,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803885
-0.534976,-1.094303,1.261891,0.311279,0.228882,0.320435,7.509708,-4.961068,3.835507,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803895
-0.535168,-1.094303,1.261891,-0.137329,-0.247192,-0.100708,7.610077,-4.964652,3.781739,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803905
-0.534976,-1.094303,1.261891,0.009155,0.109863,-0.228882,7.484616,-5.061436,3.950214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803915
-0.534976,-1.094303,1.261891,0.311279,0.091553,0.329590,7.527631,-4.939560,3.821169,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803925
